Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,An explicit link between Gaussian fields and Gaussian Markov random fields: the stochastic partial differential equation approach,,,"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",73,4,423,,,1369-7412,10.1111/j.1467-9868.2011.00777.x,,2011,http://dx.doi.org/10.1111/j.1467-9868.2011.00777.x,2,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Analysis of a vector-bias model on malaria transmission,,,Bulletin of Mathematical Biology,73,3,639,,,0092-8240,10.1007/s11538-010-9545-0,,2011,http://dx.doi.org/10.1007/s11538-010-9545-0,1,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Analysis of FETI methods for multiscale PDEs. Part II: interface variation,,,Numerische Mathematik,118,3,485,,,0029-599X,10.1007/s00211-011-0359-2,,2011,http://dx.doi.org/10.1007/s00211-011-0359-2,1,,,,Numerical analysis,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,"Antigenic distance and cross-immunity, invasibility and coexistence of pathogen strains in an epidemiological model with discrete antigenic space",,,Theoretical Population Biology,76,3,157,,,0040-5809,10.1016/j.tpb.2009.06.001,,2009,http://dx.doi.org/10.1016/j.tpb.2009.06.001,1,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Approximate tracking and disturbance rejection for stable infinite-dimensional systems using sampled-data low-gain control,,,SIAM Journal on Control and Optimization (SICON),48,2,641,,,0363-0129,10.1137/080716517,,2009,http://dx.doi.org/10.1137/080716517,2,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Approximating optimal controls for networks when there are combinations of population-level and targeted measures available : chlamydia infection as a case-study,,,Bulletin of Mathematical Biology,75,10,1747,,,0092-8240,10.1007/s11538-013-9867-9,,2013,http://www.scopus.com/inward/record.url?partnerID=yv4JPVwI&eid=2-s2.0-84879326513&md5=2060d984e170bf76b919483c79c777b9,2,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Asymptotically cylindrical Calabi–Yau 3–folds from weak Fano 3–folds,,,Geometry & Topology,17,4,1955,,,1465-3060,10.2140/gt.2013.17.1955,,2013,http://dx.doi.org/10.2140/gt.2013.17.1955,3,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Backscoring in principal coordinates analysis,,,Journal of Computational and Graphical Statistics,21,2,394,,,1061-8600,10.1080/10618600.2012.672097,,2012,http://dx.doi.org/10.1080/10618600.2012.672097,0,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Bayesian latent variable modelling in studies of air pollution and health,,,Statistics in Medicine,29,26,2732,,,0277-6715,10.1002/sim.4039,,2010,http://dx.doi.org/10.1002/sim.4039,3,,,,Statistics,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Bounded-energy-input convergent-state property of dissipative nonlinear systems: an iISS approach,,,IEEE Transactions on Automatic Control,55,1,159,,,0018-9286,10.1109/tac.2009.2033754,,2010,http://dx.doi.org/10.1109/tac.2009.2033754,2,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Calculation of long time classical trajectories: algorithmic treatment and applications for molecular systems,,,Journal of Chemical Physics,130,12,,124106,,0021-9606,10.1063/1.3096294,,2009,http://www.bath.ac.uk/math-sci/bics/preprints/BICS08_18.pdf,1,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Cellular resolutions of noncommutative toric algebras from superpotentials,,,Advances in Mathematics,229,3,1516,,,0001-8708,10.1016/j.aim.2011.11.012,,2012,http://dx.doi.org/10.1016/j.aim.2011.11.012,1,,,,Algebra & Geometry,,,
