Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Decoherence of charge qubit coupled to interacting background charges,,,Physical review B,81,12,N/A,121305,,1098-0121,10.1103/PhysRevB.81.121305,,2010,http://prb.aps.org/abstract/PRB/v81/i12/e121305,3,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,"Delay of light in an optical bottle resonator with nanoscale radius variation : dispersionless, broadband, and low-loss",,,Physical review letters,111,16,N/A,163901,,0031-9007,10.1103/PhysRevLett.111.163901,,2013,http://link.aps.org/doi/10.1103/PhysRevLett.111.163901,0,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Demonstration and characterisation of a non-inverting all-optical read/write regenerative memory,,,Optics communications,281,17,4464,,,0030-4018,10.1016/j.optcom.2008.04.043,,2008,http://dx.doi.org/10.1016/j.optcom.2008.04.043,2,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Digital back-propagation for spectrally efficient WDM 112 Gbit/s PM m-ary QAM transmission,,,Optics express,19,6,5219,,,1094-4087,10.1364/OE.19.005219,,2011,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-19-6-5219,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Dispersion-managed solitons in fibre systems and lasers,,,Physics reports,521,4,135,,,0370-1573,10.1016/j.physrep.2012.09.004,,2012,,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Dissipative dispersion-managed solitons in mode-locked lasers,,,Optics letters,34,21,3286,,,0146-9592,10.1364/OL.34.003286,,2009,http://www.opticsinfobase.org/ol/abstract.cfm?URI=ol-34-21-3286,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Doubling of optical signals using triangular pulses,,,Journal of the Optical Society of America B,26,8,1492,,,0740-3224,10.1364/JOSAB.26.001492,,2009,http://www.opticsinfobase.org/josab/abstract.cfm?URI=josab-26-8-1492,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Dual wavelength Q-switched cascade laser,,,Optics letters,37,12,2208,,,0146-9592,10.1364/OL.37.002208,,2012,http://dx.doi.org/10.1364/OL.37.002208,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Duality of weak and strong scatterer in a Luttinger liquid coupled to massless bosons,,,Physical review letters,110,13,N/A,136405,,0031-9007,10.1103/PhysRevLett.110.136405,,2013,http://prl.aps.org/abstract/PRL/v110/i13/e136405,3,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,"Dual-wavelength, ultralong Raman laser with Rayleigh-scattering feedback",,,Optics letters,35,7,1100,,,0146-9592,10.1364/OL.35.001100,,2010,http://www.opticsinfobase.org/abstract.cfm?URI=ol-35-7-1100,5,,,,Aston Institute of Photonic Technologies,,,
